"Response","id","cluster","AcceptedCmp5","UserSpecificClusterAttributes","PurchasesSpecificClusteringData","ChannelSpecificClusteringData","CampaignSpecificClusteringData"
"true",1,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Divorced, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: bottom, Fruit: high, Meat: middle, Fish: high, Sweets: high, Gold: top, Recency: 0, NumDeals: 1}","{Web: 4, Catalog: 4, Store: 6, WebVisits: 1}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"true",2,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Single, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q2, Country: CA, Complain: false}","{Wine: middle, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 0, NumDeals: 1}","{Web: 7, Catalog: 3, Store: 7, WebVisits: 5}","{Cmp1: false, Cmp2: true, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",3,"cluster_1","false","{Age: adv_age, Ed: Graduation, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q2, Country: US, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 0, NumDeals: 1}","{Web: 3, Catalog: 2, Store: 5, WebVisits: 2}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",4,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Together, Inc.: low, Kids: 1, Teens: 1, Enrollm.: Q2, Country: AUS, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 2, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",5,"cluster_1","false","{Age: mature, Ed: Graduation, Marital: Single, Inc.: bottom, Kids: 1, Teens: 0, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 0, NumDeals: 2}","{Web: 3, Catalog: 1, Store: 2, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: true, Cmp4: false, Cmp5: false, Response: true}"
"true",6,"cluster_8","false","{Age: adv_age, Ed: PhD, Marital: Single, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: low, Fruit: high, Meat: middle, Fish: top, Sweets: low, Gold: low, Recency: 0, NumDeals: 1}","{Web: 4, Catalog: 7, Store: 5, WebVisits: 2}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"true",7,"cluster_8","false","{Age: adv_age, Ed: 2n Cycle, Marital: Married, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q1, Country: GER, Complain: false}","{Wine: middle, Fruit: middle, Meat: low, Fish: bottom, Sweets: low, Gold: middle, Recency: 0, NumDeals: 1}","{Web: 10, Catalog: 10, Store: 7, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: true, Cmp4: false, Cmp5: false, Response: true}"
"false",8,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Together, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 1}","{Web: 2, Catalog: 1, Store: 3, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",9,"cluster_8","false","{Age: adv_age, Ed: PhD, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q1, Country: US, Complain: false}","{Wine: low, Fruit: bottom, Meat: low, Fish: bottom, Sweets: low, Gold: bottom, Recency: 0, NumDeals: 3}","{Web: 6, Catalog: 2, Store: 9, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",10,"cluster_8","false","{Age: adv_age, Ed: PhD, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q1, Country: IND, Complain: false}","{Wine: low, Fruit: bottom, Meat: low, Fish: bottom, Sweets: low, Gold: bottom, Recency: 0, NumDeals: 3}","{Web: 6, Catalog: 2, Store: 9, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",11,"cluster_8","false","{Age: adv_age, Ed: 2n Cycle, Marital: Married, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q4, Country: US, Complain: false}","{Wine: middle, Fruit: low, Meat: middle, Fish: middle, Sweets: middle, Gold: low, Recency: 0, NumDeals: 1}","{Web: 5, Catalog: 6, Store: 10, WebVisits: 1}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",12,"cluster_1","false","{Age: adult, Ed: Master, Marital: Together, Inc.: middle, Kids: 1, Teens: 0, Enrollm.: Q4, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 2}","{Web: 3, Catalog: 1, Store: 6, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",13,"cluster_8","false","{Age: adv_age, Ed: PhD, Marital: Widow, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q4, Country: IND, Complain: false}","{Wine: middle, Fruit: middle, Meat: middle, Fish: middle, Sweets: low, Gold: high, Recency: 0, NumDeals: 1}","{Web: 3, Catalog: 6, Store: 6, WebVisits: 1}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",14,"cluster_1","false","{Age: mature, Ed: Graduation, Marital: Married, Inc.: low, Kids: 0, Teens: 0, Enrollm.: Q4, Country: CA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: low, Gold: low, Recency: 0, NumDeals: 1}","{Web: 1, Catalog: 1, Store: 2, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",15,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: middle, Kids: 1, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 4}","{Web: 2, Catalog: 1, Store: 5, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",16,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: middle, Kids: 1, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 4}","{Web: 2, Catalog: 1, Store: 5, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",17,"cluster_1","false","{Age: adv_age, Ed: PhD, Marital: Divorced, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 3, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",18,"cluster_1","false","{Age: adult, Ed: 2n Cycle, Marital: Single, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q3, Country: CA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 2}","{Web: 2, Catalog: 0, Store: 3, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",19,"cluster_1","false","{Age: adv_age, Ed: Master, Marital: Single, Inc.: low, Kids: 2, Teens: 1, Enrollm.: Q3, Country: CA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 2, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",20,"cluster_1","false","{Age: adv_age, Ed: Master, Marital: Together, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q2, Country: SA, Complain: false}","{Wine: low, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 0, NumDeals: 3}","{Web: 5, Catalog: 2, Store: 5, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",21,"cluster_8","false","{Age: adult, Ed: Master, Marital: Single, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q1, Country: IND, Complain: false}","{Wine: low, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 3}","{Web: 5, Catalog: 1, Store: 8, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",22,"cluster_1","false","{Age: adult, Ed: Master, Marital: Married, Inc.: low, Kids: 1, Teens: 0, Enrollm.: Q1, Country: GER, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 2}","{Web: 2, Catalog: 1, Store: 3, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",23,"cluster_8","false","{Age: adult, Ed: PhD, Marital: Married, Inc.: low, Kids: 1, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: low, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 2}","{Web: 5, Catalog: 1, Store: 8, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",24,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Single, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q4, Country: IND, Complain: false}","{Wine: low, Fruit: bottom, Meat: low, Fish: middle, Sweets: bottom, Gold: low, Recency: 0, NumDeals: 4}","{Web: 8, Catalog: 8, Store: 6, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",25,"cluster_1","false","{Age: adult, Ed: Master, Marital: Single, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q4, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 0, NumDeals: 3}","{Web: 2, Catalog: 1, Store: 4, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",26,"cluster_8","false","{Age: adv_age, Ed: Graduation, Marital: Together, Inc.: middle, Kids: 1, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: middle, Fruit: bottom, Meat: low, Fish: bottom, Sweets: low, Gold: low, Recency: 0, NumDeals: 12}","{Web: 9, Catalog: 2, Store: 8, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",27,"cluster_8","false","{Age: adv_age, Ed: Graduation, Marital: Together, Inc.: middle, Kids: 1, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: middle, Fruit: bottom, Meat: low, Fish: bottom, Sweets: low, Gold: low, Recency: 0, NumDeals: 12}","{Web: 9, Catalog: 2, Store: 8, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",28,"cluster_1","false","{Age: adv_age, Ed: PhD, Marital: Widow, Inc.: low, Kids: 1, Teens: 1, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 2}","{Web: 2, Catalog: 0, Store: 3, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",29,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Single, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q2, Country: CA, Complain: false}","{Wine: bottom, Fruit: top, Meat: low, Fish: low, Sweets: low, Gold: low, Recency: 1, NumDeals: 1}","{Web: 5, Catalog: 4, Store: 6, WebVisits: 2}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",30,"cluster_1","false","{Age: adult, Ed: PhD, Marital: Divorced, Inc.: middle, Kids: 1, Teens: 1, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 3}","{Web: 5, Catalog: 1, Store: 5, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",31,"cluster_8","false","{Age: mature, Ed: Graduation, Marital: Married, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q2, Country: CA, Complain: false}","{Wine: middle, Fruit: low, Meat: high, Fish: middle, Sweets: high, Gold: high, Recency: 1, NumDeals: 1}","{Web: 4, Catalog: 8, Store: 9, WebVisits: 2}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",32,"cluster_1","false","{Age: adult, Ed: PhD, Marital: Together, Inc.: low, Kids: 2, Teens: 1, Enrollm.: Q2, Country: AUS, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 2, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",33,"cluster_8","false","{Age: adult, Ed: PhD, Marital: Married, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q1, Country: IND, Complain: false}","{Wine: middle, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 3}","{Web: 7, Catalog: 1, Store: 7, WebVisits: 8}","{Cmp1: true, Cmp2: false, Cmp3: false, Cmp4: true, Cmp5: false, Response: true}"
"false",34,"cluster_1","false","{Age: young_mat, Ed: Graduation, Marital: Married, Inc.: bottom, Kids: 0, Teens: 0, Enrollm.: Q4, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 2, Catalog: 0, Store: 3, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",35,"cluster_1","true","{Age: mature, Ed: PhD, Marital: Single, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q4, Country: SP, Complain: false}","{Wine: top, Fruit: bottom, Meat: middle, Fish: high, Sweets: low, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 4, Catalog: 3, Store: 4, WebVisits: 1}","{Cmp1: true, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: true, Response: true}"
"false",36,"cluster_8","false","{Age: mature, Ed: 2n Cycle, Marital: Married, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: low, Fish: high, Sweets: middle, Gold: low, Recency: 1, NumDeals: 1}","{Web: 2, Catalog: 3, Store: 13, WebVisits: 1}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",37,"cluster_1","false","{Age: adult, Ed: Master, Marital: Divorced, Inc.: low, Kids: 0, Teens: 0, Enrollm.: Q2, Country: SA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 0, Catalog: 0, Store: 3, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
