"Marital_Status";"Kidhome";"Teenhome";"Income";"Year_Birth";"Response";"id";"cluster";"Marital";"UserSpecificClusterAttributes"
"4";"0";"0";84835.0;1970;"true";1;"cluster_2";"Single";"{Birth: 1970, Marital: 4, Income: 84835, Kids: 0, Teens: 0,}"
"5";"0";"0";57091.0;1961;"true";2;"cluster_10";"Alone";"{Birth: 1961, Marital: 5, Income: 57091, Kids: 0, Teens: 0,}"
"1";"0";"1";67267.0;1958;"false";3;"cluster_19";"Married";"{Birth: 1958, Marital: 1, Income: 67267, Kids: 0, Teens: 1,}"
"2";"1";"1";32474.0;1967;"false";4;"cluster_20";"Together";"{Birth: 1967, Marital: 2, Income: 32474, Kids: 1, Teens: 1,}"
"5";"1";"0";21474.0;1989;"true";5;"cluster_22";"Alone";"{Birth: 1989, Marital: 5, Income: 21474, Kids: 1, Teens: 0,}"
"5";"0";"0";71691.0;1958;"true";6;"cluster_21";"Alone";"{Birth: 1958, Marital: 5, Income: 71691, Kids: 0, Teens: 0,}"
"1";"0";"0";63564.0;1954;"true";7;"cluster_1";"Married";"{Birth: 1954, Marital: 1, Income: 63564, Kids: 0, Teens: 0,}"
"2";"0";"1";44931.0;1967;"false";8;"cluster_14";"Together";"{Birth: 1967, Marital: 2, Income: 44931, Kids: 0, Teens: 1,}"
"1";"0";"1";65324.0;1954;"false";9;"cluster_1";"Married";"{Birth: 1954, Marital: 1, Income: 65324, Kids: 0, Teens: 1,}"
"1";"0";"1";65324.0;1954;"false";10;"cluster_1";"Married";"{Birth: 1954, Marital: 1, Income: 65324, Kids: 0, Teens: 1,}"
"1";"0";"0";81044.0;1947;"false";11;"cluster_24";"Married";"{Birth: 1947, Marital: 1, Income: 81044, Kids: 0, Teens: 0,}"
"2";"1";"0";62499.0;1979;"false";12;"cluster_11";"Together";"{Birth: 1979, Marital: 2, Income: 62499, Kids: 1, Teens: 0,}"
"3";"0";"0";67786.0;1959;"true";13;"cluster_19";"Divorced";"{Birth: 1959, Marital: 3, Income: 67786, Kids: 0, Teens: 0,}"
"1";"0";"0";26872.0;1981;"false";14;"cluster_5";"Married";"{Birth: 1981, Marital: 1, Income: 26872, Kids: 0, Teens: 0,}"
"1";"0";"1";4428.0;1969;"false";15;"cluster_4";"Married";"{Birth: 1969, Marital: 1, Income: 4428, Kids: 0, Teens: 1,}"
"1";"1";"1";54809.0;1977;"false";16;"cluster_18";"Married";"{Birth: 1977, Marital: 1, Income: 54809, Kids: 1, Teens: 1,}"
"1";"1";"1";54809.0;1977;"true";17;"cluster_18";"Married";"{Birth: 1977, Marital: 1, Income: 54809, Kids: 1, Teens: 1,}"
"4";"0";"1";32173.0;1958;"false";18;"cluster_0";"Single";"{Birth: 1958, Marital: 4, Income: 32173, Kids: 0, Teens: 1,}"
"5";"0";"1";47823.0;1960;"false";19;"cluster_14";"Alone";"{Birth: 1960, Marital: 5, Income: 47823, Kids: 0, Teens: 1,}"
"5";"2";"1";30523.0;1958;"false";20;"cluster_0";"Alone";"{Birth: 1958, Marital: 5, Income: 30523, Kids: 2, Teens: 1,}"
"2";"0";"1";36634.0;1954;"false";21;"cluster_23";"Together";"{Birth: 1954, Marital: 2, Income: 36634, Kids: 0, Teens: 1,}"
"5";"0";"1";43456.0;1966;"false";22;"cluster_15";"Alone";"{Birth: 1966, Marital: 5, Income: 43456, Kids: 0, Teens: 1,}"
"1";"1";"0";40662.0;1979;"false";23;"cluster_13";"Married";"{Birth: 1979, Marital: 1, Income: 40662, Kids: 1, Teens: 0,}"
"1";"1";"0";49544.0;1976;"false";24;"cluster_6";"Married";"{Birth: 1976, Marital: 1, Income: 49544, Kids: 1, Teens: 0,}"
"5";"0";"1";57731.0;1969;"false";25;"cluster_10";"Alone";"{Birth: 1969, Marital: 5, Income: 57731, Kids: 0, Teens: 1,}"
"5";"0";"1";33168.0;1965;"false";26;"cluster_20";"Alone";"{Birth: 1965, Marital: 5, Income: 33168, Kids: 0, Teens: 1,}"
"2";"1";"1";54450.0;1956;"false";27;"cluster_18";"Together";"{Birth: 1956, Marital: 2, Income: 54450, Kids: 1, Teens: 1,}"
"2";"1";"1";54450.0;1956;"false";28;"cluster_18";"Together";"{Birth: 1956, Marital: 2, Income: 54450, Kids: 1, Teens: 1,}"
"3";"1";"1";35340.0;1956;"false";29;"cluster_23";"Divorced";"{Birth: 1956, Marital: 3, Income: 35340, Kids: 1, Teens: 1,}"
"5";"0";"0";73170.0;1975;"false";30;"cluster_21";"Alone";"{Birth: 1975, Marital: 5, Income: 73170, Kids: 0, Teens: 0,}"
"4";"1";"1";65808.0;1971;"false";31;"cluster_1";"Single";"{Birth: 1971, Marital: 4, Income: 65808, Kids: 1, Teens: 1,}"
"1";"0";"0";79529.0;1986;"false";32;"cluster_24";"Married";"{Birth: 1986, Marital: 1, Income: 79529, Kids: 0, Teens: 0,}"
"2";"2";"1";34578.0;1972;"false";33;"cluster_20";"Together";"{Birth: 1972, Marital: 2, Income: 34578, Kids: 2, Teens: 1,}"
"1";"0";"1";46374.0;1974;"true";34;"cluster_14";"Married";"{Birth: 1974, Marital: 1, Income: 46374, Kids: 0, Teens: 1,}"
